분류 명칭,정의 및 예,,,,,
1. PERSON(PS),- 인명 및 인물의 별칭,,,,,
1.1. PS_NAME,"- 실존/비실존 인물의 이름, 별칭, 인터넷 사용자명
- 예) 흥선대원군, 아이유, 단군, 제우스, 돌부처, 쯔양, sojujsh",,,,,
1.2. PS_CHARACTER,"- 가상 캐릭터의 이름, 작품 속 등장인물의 이름
- 예) 뽀로로, 루피, 심슨, 엘사, 어피치, 라이언, 무지, 해리 포터, 유시진, 제임스 본드",,,,,
1.3. PS_PET,"- 반려동물의 이름
- 예) 뽀삐, 쿠키, 탄이, 절미, 달리, 김또또, 이뭉치",,,,,
2. STUDY_FIELD(FD),학문 분야,,,,,
2.1. FD_SCIENCE,"- 과학 학문 분야 및 학파(자연과학과 공학만으로 한정)
- 예) 물리학, 생명과학, 수학, 기계공학, 수의학, 자동차공학, 전기공학",,,,,
2.2. FD_SOCIAL_SCIENCE,"- 사회과학 학문 분야 및 학파(정치/경제/사회와 관련된 분야
- 예) 인류학, 사회학, 경제학, 정치학, 심리학/고전학파, 신고전학파",,,,,
2.3. FD_MEDICINE,"- 의학 관련 학문 분야 및 분과
- 예) 의학, 병리학, 보건의료학, 신경과학/비뇨기과, 신경과, 내과",,,,,
2.4 FD_ART,"- 예술 관련 학문 분야 및 학파
- 예) 문예학, 음악사학, 미술사학, 공연예술학/인상파, 점묘파, 신경향파",,,,,
2.5. FD_HUMANITIES,"- 인문학 관련 학문 분야 및 학파
- 예) 언어학, 철학, 국어국문학, 독어독문학/구조주의 언어학파, 아날학파",,,,,
2.6. FD_OTHERS,"- 기타 학문 분야 및 학파
- 예) 농학, 군사학, 가정학, 건강과학, 박물관학 등",,,,,
3. THEORY(TR),"특정 이론, 법칙, 원리",,,,,
3.1. TR_SCIENCE,"- 과학 관련 이론/법칙/방식/양식/체계/학설
- 예) 21세기형수학공식, 이진법, 원심분리법, 기체확산법",,,,,
3.2. TR_SOCIAL_SCIENCE,"- 사회과학 이론/법칙/방법/원리/사상, 정치사상
- 예) 민주주의, 공산주의, 노동가치설, 대화법, 법치주의, 평등주의",,,,,
3.3. TR_MEDICINE,"- 의학 요법/처방, 의학 진단법
- 예) 인공호흡, 요혈자극법, 바이오피드백",,,,,
3.4 TR_ART,"- 예술 관련 이론/법칙/방식/양식, 예술 사조
- 예) 고딕양식, 고전주의, 몽타주, 오마주, 클로즈업 샷, 루즈샷, 다다이즘",,,,,
3.5. TR_HUMANITIES,"- 철학, 언어, 역사 이론/사상
- 예) 주지주의, 구조주의, 이기론, 관념론, 니힐리즘, 이데아설",,,,,
3.6. TR_OTHERS,"- 기타 이론/법칙/원리
- 예) 샤머니즘, 원칙주의",,,,,
4. ARTIFACTS(AF),사람에 의해 창조된 인공물,,,,,
4.1. AF_BUILDING,"- 건축물/토목건설물, 운동장, 아파트, 다리, 등대, 분수 등의 명칭
- 예) 대한생명 63빌딩, 동대문운동장, 서해대교, 롯데월드타워",,,,,
4.2. AF_CULTURAL_ASSET,"- 건축물, 고분, 사찰 등의 문화재 명칭
- 예) 숭례문, 천마총, 불국사, 서울 원각사지 십층석탑, 에펠탑, 미디 운하",,,,,
4.3. AF_ROAD,"- 도로/철로 명칭
- 예) 세종로, 올림픽대로, 삼성로1길, 충북선, 경부선",,,,,
4.4. AF_TRANSPORT,"- 교통수단/자동차/선박 모델 및 유형, 운송수단, 놀이기구
- 예) 갈라테아호, 경비정, 벤츠, 자기부상열차",,,,,
4.5. AF_MUSICAL_INSTRUMENT,"- 악기 명칭
- 예) 기타, 캐스터네츠, 편경, 꽹과리, 대금, 해금",,,,,
4.6. AF_WEAPON,"- 무기 명칭
- 예) 기관단총, 시한폭탄, 곡사포, 고정포, 탄도미사일, 도끼, 칼",,,,,
4.7. AF_ART_WORKS,작품명,,,,,
4.7.1. AFA_DOCUMENT,"- 도서/서적 작품명, 지리서, 지도
- 예) 대동여지도, 동의보감, 한역대장경, 반지의 제왕",,,,,
4.7.2. AFA_PERFORMANCE,"- 춤/무용 작품명, 연극/공연/가극/뮤지컬 제목
- 예) 농악무, 백조의 호수, 명성황후, 캐츠",,,,,
4.7.3. AFA_VIDEO,"-영화 작품명, TV 프로그램 이름, TV/라디오 채널명
- 예) 기생충, 아빠어디가, CJ홈쇼핑, KBS 2TV",,,,,
4.7.4. AFA_ART_CRAFT,"- 미술 작품명, 조각 등의 조형 작품, 불교 그림명/불상명
- 예) 생각하는 사람, 도산도, 게르니카, 지옥의 문",,,,,
4.7.5. AFA_MUSIC,"- 음악 작품명
- 예) 돈 카를로스, 아이다, 카르멘, 한국환상곡, 보태평",,,,,
4.8. AF_WARES,판매되는 상품 및 제품,,,,,
4.8.1. AFW_SERVICE_PRODUCTS,"- 서비스업의 상품 명칭
- 예) 우리희망드림적금, 에어비앤비, 동유럽 발칸 일주 9일",,,,,
4.8.2. AFW_OTHER_PRODUCTS,"- 기타 공산품의 상품명
- 예) 포스트잇, 에어조던 원, 그린터치 물티슈",,,,,
5. ORGANIZATION(OG),기관 및 단체,,,,,
5.1. OGG_ECONOMY,"- 경제 관련 기관/단체
- 예) 삼성전자, 현대자동차, LG그룹, OECD, 동양증권",,,,,
5.2. OGG_EDUCATION,"- 교육 기관/단체, 교육 관련 기관
- 예) 밀알유치원, 서울대학교, 청담어학원, 논산훈련소, 국제한국어교육학회",,,,,
5.3. OGG_MILITARY,"- 군사 기관/단체 및 유형, 국방 기관
- 예) 해군, 공군, 육군, 인민군, 해군기지, 국방품질관리소, 한미연합사령부",,,,,
5.4. OGG_MEDIA,"- 미디어 기관/단체, 방송 관련 기관/기업
- 예) KBS, MBC, TJB, 한국일보, 씨네 21, 공익광고협의회, 월스트리트저널, AP통신",,,,,
5.5. OGG_SPORTS,"- 스포츠 기관/단체
- 예) 국민체육진흥심의위원회, 국기원, 국군체육부대, 맨체스터유나이트",,,,,
5.6. OGG_ART,"- 예술 기관/단체
- 예) 독일디자인협회, 루브르박물관, 예술의 전당, 리움미술관, 대한극장",,,,,
5.7. OGG_MEDICINE,"- 의학/의료 기관/단체
- 예) 세계보건기구, KMI한국의학연구소, 삼성서울병원, 경희한의원, 새봄약국",,,,,
5.8. OGG_RELIGION,"- 종교 기관/단체, 종파
- 예) 기독교, 불교, 증산도, 대한성공회, 한국기독교장로회, 장로교, 성결교, 화엄종",,,,,
5.9. OGG_SCIENCE,"- 과학 기관/단체
- 예) 국제전기통신연합, 한국표준과학연구원, 한국에너지기술연구원",,,,,
5.10. OGG_LIBRARY,"- 도서관 및 도서관 관련 기관/단체
- 예) 국립중앙도서관, 국회도서관, 바티칸도서관, 법학전문도서관, 일송도서관",,,,,
5.11. OGG_LAW,"- 법률 기관/단체
- 예) 광주지방법원, 대한법무사협회, 저작권심의조정위원회",,,,,
5.12. OGG_POLITICS,"- 정부/행정 기관, 공공기관, 정치 기관
- 예) 청와대, 국회, 대사관, 미래부, 정보통신부, 정부, 우체국, 경찰서, 소방서",,,,,
5.13. OGG_FOOD,"- 음식 관련 업체/회사
- 예) 맥도날드, 김밥천국, 롯데리아, 맘스터치, 스타벅스, 파리바게트",,,,,
5.14. OGG_HOTEL,"- 숙박 관련 업체
- 예) 신라호텔, 한화콘도, 대명리조트, 워커힐, 호텔신라, 백담사산장",,,,,
5.15. OGG_OTHERS,"- 기타 기관/단체
- 예) 유색인종향상전국협회, 녹색연합, 참여연대, 블링크, 원잇(ONE IT), 아미",,,,,
6. LOCATION(LC),"지역/장소, 지형/지리",,,,,
6.1. LCP_COUNTRY,"- 국가명
- 예) 한국, 미국, 독일, 프랑스, 터키, 러시아, 가나",,,,,
6.2. LCP_PROVINCE,"- 도, 주 지역명
- 예) 경기도, 제주도, 충청도, 강원도, 전라도, 경상도, 텍사스주",,,,,
6.3. LCP_COUNTY,"- 군, 면, 읍, 리, 동 등과 같은 세부 행정구역명
- 예) 영월군, 도암면, 횡계리, 노암동",,,,,
